user_id,order_id,order_date,item_price,quantity,city,category,channel
103,1235,2024-01-01 00:00:00,40.38,5,Bogota,Fashion,App
180,1082,2024-01-01 01:00:00,107.41,4,Bogota,Beauty,App
93,1041,2024-01-01 02:00:00,143.26,1,Bogota,Grocery,Web
15,1100,2024-01-01 03:00:00,25.84,1,Medellin,Beauty,Web
107,1005,2024-01-01 04:00:00,115.63,4,Medellin,Electronics,Web
72,1179,2024-01-01 05:00:00,55.03,3,Medellin,Grocery,App
189,1281,2024-01-01 06:00:00,192.77,2,Medellin,Electronics,Web
21,1225,2024-01-01 07:00:00,99.29,1,Bogota,Grocery,Web
103,1228,2024-01-01 08:00:00,162.17,2,Cali,Beauty,Web
122,1288,2024-01-01 09:00:00,112.29,4,Cali,Home,Web
75,1149,2024-01-01 10:00:00,13.47,3,Bogota,Fashion,App
88,1276,2024-01-01 11:00:00,128.46,3,Bogota,Electronics,Web
117,1197,2024-01-01 12:00:00,190.52,3,Cali,Beauty,App
100,1069,2024-01-01 13:00:00,122.31,4,Bogota,Home,Web
104,1111,2024-01-01 14:00:00,164.74,5,Cali,Beauty,App
152,1003,2024-01-01 15:00:00,177.42,5,Bogota,Electronics,App
131,1094,2024-01-01 16:00:00,49.48,2,Bogota,Fashion,Web
150,1151,2024-01-01 17:00:00,46.35,5,Bogota,Beauty,Web
53,1136,2024-01-01 18:00:00,124.14,5,Bogota,Grocery,Web
2,1246,2024-01-01 19:00:00,85.15,3,Medellin,Home,App
88,1242,2024-01-01 20:00:00,168.77,3,Medellin,Beauty,Web
158,1030,2024-01-01 21:00:00,180.5,2,Cali,Home,App
38,1039,2024-01-01 22:00:00,73.92,1,Barranquilla,Grocery,App
130,1228,2024-01-01 23:00:00,51.19,2,Medellin,Fashion,App
192,1035,2024-01-02 00:00:00,157.2,2,Cali,Fashion,App
188,1222,2024-01-02 01:00:00,58.59,4,Bogota,Grocery,Web
21,1005,2024-01-02 02:00:00,165.41,4,Medellin,Home,Web
161,1219,2024-01-02 03:00:00,87.63,2,Cali,Beauty,Web
58,1074,2024-01-02 04:00:00,135.17,2,Bogota,Grocery,App
22,1003,2024-01-02 05:00:00,23.63,2,Medellin,Electronics,App
89,1133,2024-01-02 06:00:00,126.65,5,Bogota,Home,App
49,1117,2024-01-02 07:00:00,93.09,4,Medellin,Fashion,Web
59,1093,2024-01-02 08:00:00,119.39,2,Barranquilla,Grocery,Web
170,1061,2024-01-02 09:00:00,37.76,3,Barranquilla,Fashion,App
188,1193,2024-01-02 10:00:00,148.69,3,Cali,Home,Web
15,1202,2024-01-02 11:00:00,173.25,5,Cali,Fashion,Web
190,1025,2024-01-02 12:00:00,47.26,5,Medellin,Grocery,App
190,1172,2024-01-02 13:00:00,23.66,1,Medellin,Home,Web
175,1299,2024-01-02 14:00:00,9.61,1,Bogota,Electronics,Web
190,1132,2024-01-02 15:00:00,130.18,1,Medellin,Grocery,Web
51,1117,2024-01-02 16:00:00,123.38,5,Medellin,Beauty,Web
108,1274,2024-01-02 17:00:00,111.61,5,Barranquilla,Grocery,App
55,1211,2024-01-02 18:00:00,50.23,5,Medellin,Home,Web
64,1224,2024-01-02 19:00:00,81.23,3,Medellin,Grocery,Web
131,1019,2024-01-02 20:00:00,120.92,5,Medellin,Electronics,Web
51,1112,2024-01-02 21:00:00,101.87,3,Medellin,Electronics,App
135,1139,2024-01-02 22:00:00,197.62,1,Cali,Beauty,Web
21,1046,2024-01-02 23:00:00,31.61,1,Bogota,Fashion,Web
73,1000,2024-01-03 00:00:00,140.55,1,Medellin,Home,Web
167,1089,2024-01-03 01:00:00,83.84,2,Cali,Home,Web
18,1141,2024-01-03 02:00:00,88.5,2,Medellin,Fashion,Web
132,1037,2024-01-03 03:00:00,144.93,4,Bogota,Electronics,App
89,1292,2024-01-03 04:00:00,140.03,4,Cali,Electronics,App
60,1138,2024-01-03 05:00:00,198.29,4,Cali,Grocery,Web
14,1258,2024-01-03 06:00:00,30.04,2,Bogota,Beauty,Web
9,1160,2024-01-03 07:00:00,25.3,2,Cali,Beauty,App
90,1177,2024-01-03 08:00:00,146.25,4,Cali,Beauty,Web
53,1009,2024-01-03 09:00:00,117.79,4,Medellin,Grocery,App
130,1260,2024-01-03 10:00:00,58.46,5,Barranquilla,Beauty,Web
84,1137,2024-01-03 11:00:00,20.49,4,Cali,Fashion,App
92,1171,2024-01-03 12:00:00,21.7,5,Cali,Grocery,App
111,1012,2024-01-03 13:00:00,179.37,3,Cali,Fashion,App
188,1167,2024-01-03 14:00:00,42.41,2,Bogota,Grocery,App
199,1129,2024-01-03 15:00:00,68.06,4,Bogota,Beauty,Web
172,1083,2024-01-03 16:00:00,49.2,2,Medellin,Fashion,App
8,1100,2024-01-03 17:00:00,74.22,2,Bogota,Fashion,Web
175,1272,2024-01-03 18:00:00,18.54,2,Medellin,Fashion,Web
35,1264,2024-01-03 19:00:00,106.22,3,Barranquilla,Grocery,App
81,1037,2024-01-03 20:00:00,18.18,1,Cali,Home,App
164,1093,2024-01-03 21:00:00,161.07,4,Medellin,Beauty,App
50,1094,2024-01-03 22:00:00,50.57,1,Barranquilla,Fashion,Web
104,1068,2024-01-03 23:00:00,110.3,1,Cali,Home,App
132,1235,2024-01-04 00:00:00,176.62,1,Medellin,Beauty,App
2,1136,2024-01-04 01:00:00,131.92,2,Bogota,Beauty,Web
134,1075,2024-01-04 02:00:00,108.93,5,Medellin,Fashion,Web
54,1034,2024-01-04 03:00:00,68.25,2,Cali,Fashion,Web
106,1000,2024-01-04 04:00:00,69.94,2,Medellin,Grocery,Web
4,1295,2024-01-04 05:00:00,135.55,1,Cali,Home,App
54,1059,2024-01-04 06:00:00,198.86,2,Bogota,Home,App
191,1266,2024-01-04 07:00:00,134.06,1,Cali,Fashion,App
146,1228,2024-01-04 08:00:00,113.77,5,Cali,Beauty,App
44,1269,2024-01-04 09:00:00,147.48,4,Cali,Fashion,Web
162,1285,2024-01-04 10:00:00,95.72,1,Barranquilla,Beauty,App
190,1290,2024-01-04 11:00:00,16.73,5,Cali,Beauty,Web
14,1212,2024-01-04 12:00:00,114.65,4,Barranquilla,Fashion,App
95,1164,2024-01-04 13:00:00,191.74,3,Barranquilla,Electronics,Web
48,1004,2024-01-04 14:00:00,39.18,1,Cali,Home,App
15,1077,2024-01-04 15:00:00,139.55,1,Cali,Beauty,Web
200,1061,2024-01-04 16:00:00,44.18,3,Bogota,Beauty,Web
190,1131,2024-01-04 17:00:00,109.49,3,Medellin,Electronics,App
40,1088,2024-01-04 18:00:00,23.85,1,Medellin,Grocery,Web
82,1236,2024-01-04 19:00:00,92.82,3,Bogota,Electronics,App
111,1041,2024-01-04 20:00:00,152.45,2,Bogota,Electronics,Web
53,1088,2024-01-04 21:00:00,72.78,4,Barranquilla,Beauty,App
24,1295,2024-01-04 22:00:00,134.66,4,Barranquilla,Home,Web
154,1294,2024-01-04 23:00:00,160.11,4,Cali,Electronics,Web
188,1103,2024-01-05 00:00:00,185.8,2,Medellin,Grocery,Web
124,1013,2024-01-05 01:00:00,50.76,3,Bogota,Fashion,Web
41,1287,2024-01-05 02:00:00,82.87,5,Bogota,Electronics,Web
157,1178,2024-01-05 03:00:00,34.72,3,Bogota,Electronics,Web
15,1124,2024-01-05 04:00:00,198.53,1,Bogota,Grocery,Web
45,1022,2024-01-05 05:00:00,185.77,4,Bogota,Home,Web
65,1062,2024-01-05 06:00:00,110.29,3,Barranquilla,Electronics,Web
89,1142,2024-01-05 07:00:00,169.2,5,Cali,Electronics,App
71,1152,2024-01-05 08:00:00,106.59,1,Bogota,Home,Web
9,1144,2024-01-05 09:00:00,126.6,2,Bogota,Grocery,Web
88,1224,2024-01-05 10:00:00,22.38,2,Medellin,Electronics,App
129,1103,2024-01-05 11:00:00,152.28,5,Bogota,Home,Web
136,1103,2024-01-05 12:00:00,29.9,1,Barranquilla,Electronics,App
63,1038,2024-01-05 13:00:00,166.08,4,Medellin,Fashion,Web
139,1197,2024-01-05 14:00:00,157.5,3,Medellin,Beauty,Web
81,1133,2024-01-05 15:00:00,143.21,1,Bogota,Fashion,Web
136,1066,2024-01-05 16:00:00,12.05,2,Bogota,Electronics,App
163,1178,2024-01-05 17:00:00,64.11,5,Medellin,Grocery,App
163,1041,2024-01-05 18:00:00,56.31,5,Cali,Beauty,Web
33,1014,2024-01-05 19:00:00,75.23,3,Cali,Fashion,Web
123,1110,2024-01-05 20:00:00,22.09,5,Bogota,Home,App
5,1156,2024-01-05 21:00:00,187.71,5,Medellin,Grocery,Web
41,1288,2024-01-05 22:00:00,112.99,1,Medellin,Fashion,Web
28,1230,2024-01-05 23:00:00,64.58,4,Barranquilla,Home,App
